Frame, Potential, Actual
0, 512, 5
0, 512, 6
0, 512, 5
0, 512, 5
0, 512, 7
0, 512, 6
0, 512, 7
0, 512, 5
0, 512, 5
0, 512, 6
0, 512, 6
0, 512, 7
0, 512, 7
0, 512, 6
0, 512, 6
0, 512, 5
0, 512, 4
0, 512, 5
0, 512, 5
0, 512, 3
0, 512, 5
0, 512, 8
0, 512, 6
0, 512, 6
0, 512, 7
0, 512, 6
0, 512, 9
0, 512, 5
0, 512, 5
0, 512, 4
0, 512, 5
0, 512, 4
0, 512, 4
0, 512, 6
0, 512, 5
0, 512, 4
0, 512, 5
0, 512, 6
0, 512, 5
0, 512, 5
0, 512, 6
0, 512, 6
0, 512, 5
0, 512, 6
0, 512, 5
0, 512, 9
0, 512, 7
0, 512, 7
0, 512, 7
0, 512, 6
0, 512, 7
0, 512, 4
0, 512, 7
0, 512, 7
0, 512, 5
0, 512, 4
0, 512, 5
0, 512, 6
0, 512, 6
0, 512, 7
0, 512, 6
0, 512, 6
0, 512, 7
0, 512, 6
0, 512, 7
0, 512, 7
0, 512, 8
0, 512, 6
0, 512, 5
0, 512, 7
0, 512, 5
0, 512, 6
0, 512, 5
0, 512, 6
0, 512, 7
0, 512, 5
0, 512, 6
0, 512, 4
0, 512, 6
0, 512, 9
0, 512, 7
0, 512, 5
0, 512, 4
0, 512, 6
0, 512, 6
0, 512, 7
0, 512, 4
0, 512, 7
0, 512, 7
0, 512, 5
0, 512, 6
0, 512, 8
0, 512, 6
0, 512, 6
0, 512, 6
0, 512, 5
0, 512, 6
0, 512, 5
0, 512, 5
0, 512, 7
0, 512, 6
0, 512, 7
0, 512, 5
0, 512, 5
0, 512, 5
0, 512, 7
0, 512, 4
0, 512, 6
0, 512, 4
0, 512, 7
0, 512, 5
0, 512, 4
0, 512, 7
0, 512, 4
0, 512, 6
0, 512, 6
0, 512, 8
0, 512, 6
0, 512, 4
0, 512, 6
0, 512, 6
0, 512, 5
0, 512, 4
0, 512, 8
0, 512, 6
0, 512, 5
0, 512, 5
0, 512, 5
0, 512, 6
0, 512, 4
0, 512, 6
0, 512, 7
0, 512, 6
0, 512, 4
0, 512, 4
0, 512, 7
0, 512, 5
0, 512, 6
0, 512, 6
0, 512, 4
0, 512, 7
0, 512, 6
0, 512, 6
0, 512, 5
0, 512, 5
0, 512, 6
0, 512, 5
0, 512, 6
0, 512, 6
0, 512, 6
0, 512, 7
0, 512, 3
0, 512, 4
0, 512, 3
0, 512, 6
0, 512, 6
0, 512, 8
0, 512, 6
0, 512, 2
0, 512, 7
0, 512, 6
0, 512, 8
0, 512, 7
0, 512, 5
0, 512, 6
0, 512, 4
0, 512, 6
0, 512, 5
0, 512, 5
0, 512, 6
0, 512, 3
0, 512, 6
0, 512, 5
0, 512, 5
0, 512, 8
0, 512, 4
0, 512, 6
0, 512, 7
0, 512, 6
0, 512, 5
0, 512, 7
0, 512, 5
0, 512, 4
0, 512, 6
0, 512, 5
0, 512, 5
0, 512, 7
0, 512, 5
0, 512, 8
0, 512, 6
0, 512, 7
0, 512, 7
0, 512, 7
0, 512, 6
0, 512, 5
0, 512, 5
0, 512, 4
0, 512, 6
0, 512, 6
0, 512, 5
0, 512, 4
0, 512, 7
0, 512, 3
0, 512, 7
0, 512, 5
0, 512, 8
0, 512, 9
0, 512, 5
0, 512, 6
0, 512, 6
0, 512, 5
0, 512, 5
0, 512, 6
0, 512, 10
0, 512, 5
0, 512, 6
0, 512, 6
0, 512, 7
0, 512, 4
0, 512, 6
0, 512, 6
0, 512, 5
0, 512, 5
0, 512, 8
0, 512, 4
0, 512, 4
0, 512, 6
0, 512, 4
0, 512, 5
0, 512, 6
0, 512, 4
0, 512, 4
0, 512, 7
0, 512, 5
0, 512, 6
0, 512, 7
0, 512, 5
0, 512, 5
0, 512, 7
0, 512, 5
0, 512, 7
0, 512, 6
0, 512, 5
0, 512, 3
0, 512, 7
0, 512, 6
0, 512, 5
0, 512, 6
0, 512, 6
0, 512, 6
0, 512, 6
0, 512, 5
0, 512, 6
0, 512, 8
0, 512, 8
0, 512, 8
0, 512, 4
0, 512, 6
0, 512, 5
0, 512, 6
0, 512, 6
0, 512, 8
0, 512, 6
0, 512, 7
0, 512, 7
0, 512, 4
0, 512, 7
0, 512, 6
0, 512, 4
0, 512, 5
0, 512, 4
0, 512, 7
0, 512, 6
0, 512, 7
0, 512, 6
0, 512, 6
0, 512, 6
0, 512, 6
0, 512, 5
0, 512, 5
0, 512, 7
0, 512, 6
0, 512, 8
0, 512, 6
0, 512, 4
0, 512, 5
0, 512, 6
0, 512, 6
0, 512, 6
0, 512, 5
0, 512, 5
0, 512, 5
0, 512, 6
0, 512, 8
0, 512, 5
0, 512, 8
0, 512, 7
0, 512, 5
0, 512, 6
0, 512, 5
0, 512, 6
0, 512, 7
0, 512, 7
0, 512, 6
0, 512, 7
0, 512, 4
0, 512, 5
0, 512, 8
0, 512, 5
0, 512, 5
0, 512, 7
0, 512, 4
0, 512, 7
0, 512, 5
0, 512, 7
0, 512, 6
0, 512, 4
0, 512, 3
0, 512, 8
0, 512, 6
0, 512, 4
0, 512, 5
0, 512, 6
0, 512, 5
0, 512, 5
0, 512, 9
0, 512, 5
0, 512, 6
0, 512, 7
0, 512, 7
0, 512, 7
0, 512, 5
0, 512, 4
0, 512, 7
0, 512, 8
0, 512, 5
0, 512, 5
0, 512, 6
0, 512, 5
0, 512, 5
0, 512, 5
0, 512, 6
0, 512, 6
0, 512, 6
0, 512, 6
0, 512, 5
0, 512, 6
0, 512, 5
0, 512, 7
0, 512, 6
0, 512, 5
0, 512, 6
0, 512, 5
0, 512, 6
0, 512, 5
0, 512, 6
0, 512, 7
0, 512, 6
0, 512, 5
0, 512, 5
0, 512, 6
0, 512, 7
0, 512, 4
0, 512, 8
0, 512, 5
0, 512, 5
0, 512, 5
0, 512, 6
0, 512, 7
0, 512, 7
0, 512, 5
0, 512, 6
0, 512, 7
0, 512, 5
0, 512, 5
0, 512, 4
0, 512, 7
0, 512, 6
0, 512, 5
0, 512, 7
0, 512, 5
0, 512, 3
0, 512, 5
0, 512, 6
0, 512, 6
0, 512, 3
0, 512, 5
0, 512, 7
0, 512, 6
0, 512, 5
0, 512, 7
0, 512, 8
0, 512, 8
0, 512, 5
0, 512, 5
0, 512, 6
0, 512, 6
0, 512, 6
0, 512, 6
0, 512, 5
0, 512, 5
0, 512, 4
0, 512, 6
0, 512, 5
0, 512, 5
0, 512, 5
0, 512, 5
0, 512, 5
