Frame, Potential, Actual
0, 23, 13
0, 25, 15
0, 24, 18
0, 32, 16
0, 31, 20
0, 16, 11
0, 16, 10
0, 22, 14
0, 30, 12
0, 29, 19
0, 22, 14
0, 33, 20
0, 21, 12
0, 31, 20
0, 31, 15
0, 27, 18
0, 17, 6
0, 28, 15
0, 29, 17
0, 9, 4
0, 23, 14
0, 32, 21
0, 26, 17
0, 30, 14
0, 24, 15
0, 30, 19
0, 32, 18
0, 14, 7
0, 12, 6
0, 30, 16
0, 9, 5
0, 26, 16
0, 28, 11
0, 14, 7
0, 18, 8
0, 25, 14
0, 16, 8
0, 30, 18
0, 30, 15
0, 23, 12
0, 21, 16
0, 21, 15
0, 18, 9
0, 23, 15
0, 24, 15
0, 26, 20
0, 28, 16
0, 32, 19
0, 34, 22
0, 34, 20
0, 31, 19
0, 28, 14
0, 24, 16
0, 31, 18
0, 14, 7
0, 23, 13
0, 26, 16
0, 15, 8
0, 29, 19
0, 31, 21
0, 25, 15
0, 17, 7
0, 28, 17
0, 34, 17
0, 25, 14
0, 21, 12
0, 21, 11
0, 28, 14
0, 19, 11
0, 28, 17
0, 3, 0
0, 13, 8
0, 25, 13
0, 29, 17
0, 33, 18
0, 27, 14
0, 25, 15
0, 21, 13
0, 14, 9
0, 27, 19
0, 25, 13
0, 20, 9
0, 22, 11
0, 24, 15
0, 28, 15
0, 20, 13
0, 10, 2
0, 17, 8
0, 28, 18
0, 26, 11
0, 20, 10
0, 34, 21
0, 31, 19
0, 30, 17
0, 26, 16
0, 23, 14
0, 30, 17
0, 23, 15
0, 20, 13
0, 30, 19
0, 21, 12
0, 18, 11
0, 29, 15
0, 27, 16
0, 29, 15
0, 21, 14
0, 27, 12
0, 26, 12
0, 25, 11
0, 14, 9
0, 33, 14
0, 33, 14
0, 32, 16
0, 25, 13
0, 24, 14
0, 25, 17
0, 30, 19
0, 30, 18
0, 22, 12
0, 11, 8
0, 29, 18
0, 29, 14
0, 17, 8
0, 22, 12
0, 28, 17
0, 17, 9
0, 30, 16
0, 29, 15
0, 24, 16
0, 15, 9
0, 27, 16
0, 18, 12
0, 26, 16
0, 29, 12
0, 16, 8
0, 23, 14
0, 20, 9
0, 27, 14
0, 28, 18
0, 7, 1
0, 21, 12
0, 27, 13
0, 31, 15
0, 15, 7
0, 20, 11
0, 30, 18
0, 17, 7
0, 19, 11
0, 26, 17
0, 29, 16
0, 30, 19
0, 25, 8
0, 15, 7
0, 27, 9
0, 28, 16
0, 26, 15
0, 33, 20
0, 9, 6
0, 28, 9
0, 22, 10
0, 27, 15
0, 36, 23
0, 16, 11
0, 22, 11
0, 27, 18
0, 17, 10
0, 28, 16
0, 15, 9
0, 26, 15
0, 31, 17
0, 17, 7
0, 32, 20
0, 18, 7
0, 25, 13
0, 34, 22
0, 20, 9
0, 30, 17
0, 18, 11
0, 28, 18
0, 22, 11
0, 29, 17
0, 24, 14
0, 21, 10
0, 19, 6
0, 9, 2
0, 15, 9
0, 23, 12
0, 31, 15
0, 31, 19
0, 27, 15
0, 24, 15
0, 32, 19
0, 31, 18
0, 31, 16
0, 18, 7
0, 22, 15
0, 17, 9
0, 32, 19
0, 29, 16
0, 31, 17
0, 25, 15
0, 28, 18
0, 26, 9
0, 30, 18
0, 26, 19
0, 28, 22
0, 17, 8
0, 19, 8
0, 31, 18
0, 27, 17
0, 16, 8
0, 29, 16
0, 25, 15
0, 32, 23
0, 18, 11
0, 14, 6
0, 34, 17
0, 26, 19
0, 23, 11
0, 23, 15
0, 31, 15
0, 24, 12
0, 18, 9
0, 21, 15
0, 15, 6
0, 19, 12
0, 26, 17
0, 30, 14
0, 25, 13
0, 25, 15
0, 25, 11
0, 28, 15
0, 32, 18
0, 31, 18
0, 28, 14
0, 32, 17
0, 29, 15
0, 18, 12
0, 31, 20
0, 30, 15
0, 29, 17
0, 27, 16
0, 24, 11
0, 18, 8
0, 25, 17
0, 22, 12
0, 12, 6
0, 26, 17
0, 28, 18
0, 28, 16
0, 27, 20
0, 29, 16
0, 30, 17
0, 35, 20
0, 28, 21
0, 32, 21
0, 25, 14
0, 25, 16
0, 17, 8
0, 22, 15
0, 25, 16
0, 31, 20
0, 33, 20
0, 27, 18
0, 32, 20
0, 26, 13
0, 29, 17
0, 22, 11
0, 30, 14
0, 14, 9
0, 22, 15
0, 32, 19
0, 18, 10
0, 28, 16
0, 24, 14
0, 28, 18
0, 18, 8
0, 23, 13
0, 19, 11
0, 25, 12
0, 27, 19
0, 20, 9
0, 19, 13
0, 19, 10
0, 24, 14
0, 13, 8
0, 24, 12
0, 18, 9
0, 29, 18
0, 24, 14
0, 26, 13
0, 18, 7
0, 20, 13
0, 26, 11
0, 33, 19
0, 27, 15
0, 27, 18
0, 23, 11
0, 24, 14
0, 12, 7
0, 20, 14
0, 33, 19
0, 14, 8
0, 31, 17
0, 21, 13
0, 10, 3
0, 26, 14
0, 32, 19
0, 25, 14
0, 29, 17
0, 27, 18
0, 27, 13
0, 19, 9
0, 20, 9
0, 26, 19
0, 24, 19
0, 33, 18
0, 12, 3
0, 21, 15
0, 33, 16
0, 9, 6
0, 17, 11
0, 28, 19
0, 21, 12
0, 23, 10
0, 28, 20
0, 18, 12
0, 27, 16
0, 22, 13
0, 35, 21
0, 12, 9
0, 22, 13
0, 25, 12
0, 28, 18
0, 34, 24
0, 20, 10
0, 28, 15
0, 25, 11
0, 28, 17
0, 24, 15
0, 19, 7
0, 17, 8
0, 35, 18
0, 13, 6
0, 21, 15
0, 18, 11
0, 29, 18
0, 26, 16
0, 24, 13
0, 24, 14
0, 17, 10
0, 27, 17
0, 25, 11
0, 28, 15
0, 12, 3
0, 29, 16
0, 33, 21
0, 32, 16
0, 15, 10
0, 30, 15
0, 22, 13
0, 28, 15
0, 10, 4
0, 29, 22
0, 30, 15
0, 21, 9
0, 27, 16
0, 29, 17
0, 32, 21
0, 27, 18
0, 25, 12
0, 28, 20
0, 13, 7
0, 23, 11
0, 27, 14
0, 27, 13
0, 29, 19
0, 24, 17
0, 29, 15
0, 33, 17
0, 24, 11
0, 17, 5
0, 23, 13
0, 29, 14
0, 27, 15
0, 24, 10
0, 24, 12
0, 31, 21
0, 30, 19
0, 18, 11
0, 25, 15
0, 33, 22
0, 28, 18
0, 14, 9
0, 28, 14
0, 28, 20
0, 35, 20
0, 31, 15
0, 23, 13
0, 26, 14
0, 21, 11
0, 21, 14
0, 16, 7
0, 22, 12
0, 25, 14
0, 24, 15
0, 22, 15
0, 19, 9
0, 19, 9
0, 19, 9
0, 23, 13
0, 27, 14
0, 27, 17
0, 24, 12
0, 22, 15
0, 32, 20
0, 28, 17
0, 17, 9
0, 31, 19
0, 30, 15
0, 18, 7
0, 26, 9
0, 25, 13
0, 13, 7
0, 24, 17
0, 23, 12
0, 27, 15
0, 25, 12
0, 30, 15
0, 32, 23
0, 33, 16
0, 29, 17
0, 12, 7
0, 13, 7
0, 25, 16
0, 20, 12
0, 16, 9
0, 17, 10
0, 33, 21
0, 19, 9
0, 21, 14
0, 31, 20
0, 26, 14
0, 20, 9
0, 14, 6
0, 27, 17
0, 29, 15
0, 21, 14
0, 30, 19
0, 27, 12
0, 32, 17
0, 31, 19
0, 32, 15
0, 23, 15
0, 10, 4
0, 21, 10
0, 24, 13
0, 27, 17
0, 18, 14
0, 31, 14
0, 26, 15
0, 14, 4
0, 31, 19
0, 11, 4
0, 31, 18
0, 24, 13
0, 15, 9
0, 20, 11
0, 25, 13
0, 28, 18
0, 22, 12
0, 11, 6
0, 18, 10
0, 21, 10
0, 13, 8
0, 27, 15
0, 20, 11
0, 13, 5
0, 29, 18
0, 28, 16
0, 11, 6
0, 19, 10
0, 31, 15
0, 28, 13
0, 14, 9
0, 15, 8
0, 25, 15
0, 32, 19
0, 18, 10
0, 16, 11
0, 24, 14
0, 31, 20
0, 27, 17
0, 19, 10
0, 29, 19
0, 16, 7
0, 23, 14
0, 29, 13
0, 33, 19
0, 23, 16
0, 29, 19
0, 20, 10
0, 28, 15
0, 28, 13
0, 20, 14
0, 25, 14
0, 19, 13
0, 31, 19
0, 10, 5
0, 26, 15
0, 30, 16
0, 26, 15
1, 30, 20
1, 33, 17
1, 28, 20
1, 30, 18
1, 29, 17
1, 26, 15
1, 21, 12
1, 24, 18
1, 29, 17
1, 22, 12
1, 24, 12
1, 25, 14
1, 21, 13
1, 28, 13
1, 29, 20
1, 28, 13
1, 14, 7
1, 19, 10
1, 29, 14
1, 23, 10
1, 30, 16
1, 31, 18
1, 27, 15
1, 24, 11
1, 31, 17
1, 34, 15
1, 23, 11
1, 17, 7
1, 28, 16
1, 35, 20
1, 9, 4
1, 21, 8
1, 25, 15
1, 22, 14
1, 13, 5
1, 28, 17
1, 14, 9
1, 31, 15
1, 21, 13
1, 23, 12
1, 18, 10
1, 17, 7
1, 18, 10
1, 21, 11
1, 17, 8
1, 27, 16
1, 28, 11
1, 29, 12
1, 24, 11
1, 31, 18
1, 24, 15
1, 30, 15
1, 23, 10
1, 27, 10
1, 20, 10
1, 24, 12
1, 34, 23
1, 13, 5
1, 24, 16
1, 26, 12
1, 17, 11
1, 14, 9
1, 23, 18
1, 25, 15
1, 21, 10
1, 20, 13
